video,ped,anchor,label,detected,cov,miou,switch,purity,frag,gt_prob,yolo_prob
video_0016,3_16_946,12190,0,1,1.0,0.812,1,0.5,0,0.0091,0.009
video_0016,3_16_946,12198,0,1,1.0,0.814,1,0.375,0,0.0074,0.0076
video_0016,3_16_946,12206,0,1,1.0,0.832,0,0.625,0,0.0056,0.0057
video_0016,3_16_946,12214,0,1,1.0,0.836,1,0.625,0,0.0037,0.0037
video_0016,3_16_947,12194,0,1,0.625,0.754,0,0.3,6,0.0086,0.009
video_0016,3_16_947,12202,0,1,0.938,0.795,1,0.4,1,0.007,0.0074
video_0016,3_16_947,12210,0,1,1.0,0.761,1,0.312,0,0.0051,0.0055
video_0016,3_16_947,12218,0,1,0.75,0.741,0,0.167,1,0.0034,0.0047
video_0016,3_16_904,6015,0,1,1.0,0.756,1,0.312,0,0.0208,0.0318
video_0016,3_16_904,6023,0,1,1.0,0.794,1,0.375,0,0.0112,0.0109
video_0016,3_16_904,6031,0,1,1.0,0.887,1,0.375,0,0.0063,0.0065
video_0016,3_16_904,6039,0,1,0.938,0.917,1,0.333,1,0.0034,0.0034
video_0016,3_16_928,2597,1,1,0.875,0.523,0,0.143,2,0.3003,0.1076
video_0016,3_16_929,2745,1,1,1.0,0.52,1,0.188,0,0.9333,0.6525
video_0016,3_16_929,2753,1,1,0.5,0.453,0,0.375,0,0.9311,0.6728
video_0016,3_16_929,2761,1,0,0.312,0.541,0,0.4,0,0.9305,
video_0016,3_16_929,2769,1,1,0.812,0.646,1,0.462,0,0.9359,0.9345
video_0016,3_16_930,2757,1,1,0.812,0.474,1,0.308,2,0.9296,0.6819
video_0016,3_16_930,2765,1,0,0.312,0.45,0,0.4,2,0.9264,
video_0016,3_16_930,2773,1,0,0.062,0.306,0,1.0,0,0.9204,
video_0016,3_16_930,2781,1,0,0.312,0.552,0,0.4,11,0.9186,
video_0016,3_16_931,2811,1,1,1.0,0.469,1,0.188,0,0.9356,0.8276
video_0016,3_16_931,2819,1,1,1.0,0.471,1,0.188,0,0.9358,0.6471
video_0016,3_16_931,2827,1,1,0.688,0.508,0,0.273,0,0.935,0.7264
video_0016,3_16_931,2835,1,0,0.438,0.484,0,0.286,7,0.9333,
video_0016,3_16_932,3045,1,1,0.688,0.491,0,0.273,0,0.9235,0.7537
video_0016,3_16_932,3053,1,1,0.562,0.412,0,0.333,7,0.9218,0.9322
video_0016,3_16_932,3061,1,1,0.625,0.457,0,0.4,4,0.9207,0.903
video_0016,3_16_932,3069,1,1,0.75,0.526,0,0.333,4,0.9225,0.9084
video_0016,3_16_933,3006,1,0,0.25,0.546,0,0.25,5,0.9219,
video_0016,3_16_933,3014,1,1,0.625,0.744,0,0.3,5,0.9284,0.9284
video_0016,3_16_933,3022,1,1,0.938,0.803,1,0.333,1,0.9233,0.9318
video_0016,3_16_933,3030,1,1,1.0,0.835,0,0.125,0,0.919,0.9305
video_0016,3_16_934,3015,1,0,0.312,0.39,0,0.6,0,0.9222,
video_0016,3_16_934,3023,1,0,0.062,0.607,0,1.0,0,0.9215,
video_0016,3_16_934,3031,1,0,0.375,0.789,0,0.5,5,0.9193,
video_0016,3_16_934,3039,1,1,0.812,0.834,1,0.462,0,0.9149,0.9246
video_0016,3_16_935,3117,1,1,1.0,0.468,0,0.188,0,0.9264,0.8126
video_0016,3_16_935,3125,1,1,0.938,0.494,0,0.2,0,0.9245,0.7494
video_0016,3_16_935,3133,1,1,0.625,0.487,0,0.2,6,0.9229,0.9332
video_0016,3_16_935,3141,1,1,0.625,0.614,0,0.3,1,0.9251,0.9185
video_0016,3_16_936,3220,1,0,0.375,0.497,0,0.333,0,0.9177,
video_0016,3_16_936,3228,1,1,0.5,0.638,0,0.5,0,0.9162,0.9205
video_0016,3_16_936,3236,1,1,1.0,0.697,0,0.5,0,0.9096,0.9137
video_0016,3_16_936,3244,1,1,1.0,0.685,1,0.312,0,0.911,0.8929
video_0016,3_16_937,3331,1,0,0.375,0.595,0,0.5,6,0.9267,
video_0016,3_16_937,3339,1,0,0.375,0.49,0,0.333,6,0.9252,
video_0016,3_16_937,3347,1,1,0.625,0.434,0,0.2,5,0.9201,0.1182
video_0016,3_16_937,3355,1,1,0.625,0.416,0,0.3,3,0.9275,0.8588
video_0016,3_16_938,3425,1,1,1.0,0.412,1,0.438,0,0.9258,0.6435
video_0016,3_16_938,3433,1,1,0.688,0.502,1,0.273,4,0.9257,0.882
video_0016,3_16_938,3441,1,0,0.188,0.701,0,0.667,1,0.927,
video_0016,3_16_938,3449,1,0,0.0,0.0,0,0.0,16,0.9295,
video_0016,3_16_939,3559,1,0,0.0,0.0,0,0.0,16,0.9353,
video_0016,3_16_939,3567,1,0,0.125,0.301,0,1.0,0,0.9351,
video_0016,3_16_939,3575,1,0,0.312,0.305,0,0.4,7,0.9341,
video_0016,3_16_939,3583,1,1,0.625,0.351,0,0.5,6,0.9335,0.6679
video_0016,3_16_940,3604,1,1,0.625,0.328,0,0.3,5,0.9291,0.7612
video_0016,3_16_940,3612,1,1,0.875,0.33,1,0.357,2,0.9306,0.768
video_0016,3_16_940,3620,1,1,0.75,0.364,0,0.583,3,0.9328,0.4406
video_0016,3_16_940,3628,1,1,0.812,0.445,0,0.615,3,0.9307,0.701
video_0016,3_16_941,3670,1,0,0.312,0.489,0,0.2,5,0.9367,
video_0016,3_16_941,3678,1,0,0.062,0.69,0,1.0,0,0.9364,
video_0016,3_16_941,3686,1,0,0.0,0.0,0,0.0,16,0.9345,
video_0016,3_16_941,3694,1,0,0.062,0.712,0,1.0,0,0.9283,
video_0016,3_16_942,4329,1,1,1.0,0.794,1,0.625,0,0.9972,0.9972
video_0016,3_16_942,4337,1,1,1.0,0.812,1,0.562,0,0.9972,0.9972
video_0016,3_16_942,4345,1,1,1.0,0.831,0,0.875,0,0.9972,0.997
video_0016,3_16_942,4353,1,1,1.0,0.843,0,0.938,0,0.9972,0.9973
video_0016,3_16_943,4286,1,1,0.938,0.771,0,0.4,0,0.9854,0.9809
video_0016,3_16_943,4294,1,1,0.75,0.76,0,0.417,3,0.9854,0.9698
video_0016,3_16_943,4302,1,0,0.438,0.664,0,0.571,6,0.9854,
video_0016,3_16_943,4310,1,1,0.688,0.443,1,0.364,5,0.9854,0.9787
video_0016,3_16_945,4676,0,0,0.375,0.759,0,0.333,1,0.2276,
video_0016,3_16_945,4684,0,1,0.875,0.829,0,0.286,1,0.113,0.0709
video_0016,3_16_945,4692,0,1,0.812,0.783,1,0.308,3,0.2076,0.1669
video_0016,3_16_945,4700,0,1,0.812,0.729,1,0.615,3,0.4617,0.3899
video_0016,3_16_903,5028,1,1,1.0,0.662,1,0.25,0,0.9975,0.996
video_0016,3_16_903,5036,1,1,1.0,0.652,1,0.312,0,0.9973,0.9959
video_0016,3_16_903,5044,1,1,1.0,0.726,0,0.25,0,0.9968,0.996
video_0016,3_16_903,5052,1,1,1.0,0.728,1,0.25,0,0.9961,0.994
video_0016,3_16_944,4688,0,0,0.438,0.625,0,0.286,0,0.1676,
video_0016,3_16_944,4696,0,1,0.875,0.687,0,0.143,1,0.1268,0.4192
video_0016,3_16_944,4704,0,1,0.875,0.781,1,0.286,2,0.6991,0.2756
video_0016,3_16_944,4712,0,1,0.938,0.8,1,0.4,1,0.7738,0.1678
video_0016,3_16_906,9624,1,0,0.0,0.0,0,0.0,16,0.813,
video_0016,3_16_906,9632,1,0,0.0,0.0,0,0.0,16,0.6369,
video_0016,3_16_906,9640,1,0,0.0,0.0,0,0.0,16,0.5773,
video_0016,3_16_906,9648,1,0,0.0,0.0,0,0.0,16,0.5424,
video_0016,3_16_907,12030,0,1,0.875,0.686,1,0.429,2,0.1635,0.34
video_0016,3_16_907,12038,0,1,1.0,0.862,1,0.625,0,0.3867,0.4955
video_0016,3_16_907,12046,0,1,1.0,0.857,1,0.562,0,0.0145,0.0204
video_0016,3_16_907,12054,0,1,1.0,0.806,1,0.375,0,0.0129,0.0173
video_0016,3_16_908,12419,0,1,0.562,0.836,1,0.333,3,0.0132,0.0123
video_0016,3_16_908,12427,0,1,1.0,0.889,1,0.375,0,0.0121,0.0122
video_0016,3_16_908,12435,0,1,1.0,0.92,1,0.5,0,0.0091,0.009
video_0016,3_16_908,12443,0,1,1.0,0.864,1,0.25,0,0.0059,0.0052
video_0016,3_16_909,12546,0,0,0.438,0.664,0,0.714,7,0.012,
video_0016,3_16_909,12554,0,1,0.688,0.753,1,0.364,5,0.0099,0.0098
video_0016,3_16_909,12562,0,1,0.875,0.828,1,0.357,0,0.0078,0.0084
video_0016,3_16_909,12570,0,1,1.0,0.826,1,0.312,0,0.0067,0.0072
video_0016,3_16_910,12951,0,1,1.0,0.877,1,0.5,0,0.0188,0.0133
video_0016,3_16_910,12959,0,1,0.938,0.862,1,0.667,1,0.0134,0.0108
video_0016,3_16_910,12967,0,1,0.875,0.825,0,0.714,2,0.0126,0.0099
video_0016,3_16_910,12975,0,1,0.938,0.8,0,0.733,0,0.0293,0.0075
video_0016,3_16_916,15497,1,1,1.0,0.842,1,0.438,0,0.9412,0.9397
video_0016,3_16_916,15505,1,1,1.0,0.889,1,0.5,0,0.941,0.9387
video_0016,3_16_916,15513,1,1,1.0,0.847,1,0.375,0,0.9396,0.9368
video_0016,3_16_916,15521,1,1,0.562,0.791,0,0.333,0,0.9427,0.9395
video_0016,3_16_915,15278,1,1,1.0,0.915,0,1.0,0,0.9413,0.9396
video_0016,3_16_915,15286,1,1,1.0,0.9,0,1.0,0,0.9387,0.9404
video_0016,3_16_915,15294,1,1,1.0,0.86,0,0.938,0,0.9362,0.9317
video_0016,3_16_915,15302,1,1,1.0,0.873,1,0.625,0,0.9342,0.933
